家風 (かふう)
上方 (かみがた)
家名 (かめい)
科目 (かもく)
火曜 (かよう)
川原 (かわら)
間食 (かんしょく)
外角 (がいかく)
外気 (がいき)
外形 (がいけい)
外見 (がいけん)
外交 (がいこう)
外国 (がいこく)
外語 (がいご)
外紙 (がいし)
会社 (がいしゃ)
外車 (がいしゃ)
外出 (がいしゅつ)
外食 (がいしょく)
外心 (がいしん)
外字 (がいじ)
外人 (がいじん)
外声 (がいせい)
外線 (がいせん)
外電 (がいでん)
外聞 (がいぶん)
外米 (がいまい)
外野 (がいや)
外来 (がいらい)
外力 (がいりょく)
画家 (がか)
学園 (がくえん)
学才 (がくさい)
学長 (がくちょう)
学内 (がくない)
学友 (がくゆう)
画才 (がさい)
学科 (がっか)
学会 (がっかい)
合作 (がっさく)
合算 (がっさん)
合体 (がったい)
元金 (がんきん)
顔色 (がんしょく)
元日 (がんじつ)
岩石 (がんせき)
元年 (がんねん)
元本 (がんぽん)
元来 (がんらい)
黄色 (きいろ)
黄色 (きいろ)
帰京 (ききょう)
帰国 (きこく)
気心 (きごころ)
帰社 (きしゃ)
汽車 (きしゃ)
気色 (きしょく)
生地 (きじ)
木地 (きじ)
汽船 (きせん)
気体 (きたい)
北風 (きたかぜ)
北口 (きたぐち)
切先 (きっさき)
切手 (きって)
木戸 (きど)
気長 (きなが)
記入 (きにゅう)
木場 (きば)
気風 (きふう)
気分 (きぶん)
気前 (きまえ)
記名 (きめい)
休会 (きゅうかい)
休止 (きゅうし)
休場 (きゅうじょう)
弓道 (きゅうどう)
今日 (きょう)
教科 (きょうか)
教会 (きょうかい)
強行 (きょうこう)
強国 (きょうこく)
教室 (きょうしつ)
教書 (きょうしょ)
強心 (きょうしん)
強弱 (きょうじゃく)
教場 (きょうじょう)
教生 (きょうせい)
強大 (きょうだい)
兄弟 (きょうだい)
教頭 (きょうとう)
強風 (きょうふう)
京間 (きょうま)
強力 (きょうりょく)
気弱 (きよわ)
帰来 (きらい)
気楽 (きらく)
切口 (きりくち)
金色 (きんいろ)
近火 (きんか)
近海 (きんかい)
金魚 (きんぎょ)
金工 (きんこう)
近作 (きんさく)
近親 (きんしん)
近日 (きんじつ)
金星 (きんせい)
近年 (きんねん)
金星 (きんぼし)
金曜 (きんよう)
近来 (きんらい)
牛車 (ぎっしゃ)
牛後 (ぎゅうご)
牛肉 (ぎゅうにく)
牛馬 (ぎゅうば)
牛歩 (ぎゅうほ)
行間 (ぎょうかん)
行書 (ぎょうしょ)
行水 (ぎょうずい)
行頭 (ぎょうとう)
魚肉 (ぎょにく)
空間 (くうかん)
空自 (くうじ)
空前 (くうぜん)
空母 (くうぼ)
口絵 (くちえ)
口数 (くちかず)
口数 (くちすう)
口走 (くちばし)
口元 (くちもと)
組合 (くみあい)
雲間 (くもま)
黒石 (くろいし)
黒字 (くろじ)
黒土 (くろつち)
黒星 (くろぼし)
黒目 (くろめ)
黒山 (くろやま)
計画 (けいかく)
計算 (けいさん)
